"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
1,"COL0016283","SOCIALIZACION Y VIOLENCIA",1993,2,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
2,"COL0018751","ECITRONICA",2002,1,1,"Bogot ",11,"Distrito Capital","ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO ECI",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3,"COL0003481","DESARROLLO MORAL",1984,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
4,"COL0021425","I&D DE PRODUCTOS AGRICOLAS CON BASE EN MICROORGANISMOS",1986,1,769,"Subachoque",25,"Cundinamarca","LIVE SYSTEMS TECHNOLOGY SA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
5,"COL0013334","LINEA DE INVESTIGACION EN JOVENES Y CULTURAS JUVENILES",1995,6,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
6,"COL0013316","GENERO Y CULTURA",1998,9,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
7,"COL0014583","PAVIMENTOS Y MATERIALES DE INGENIERIA",2002,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
8,"COL0008764","GRUPO DE INVESTIGACION EN GESTION INDUSTRIAL GEGI",2002,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
9,"COL0020571","PALABRA; PUEBLO Y VIDA",1998,12,1,"Bogot ",11,"Distrito Capital","CORPORACION UNIVERSITARIA MINUTO DE DIOS; UNIVERSIDAD DE LA SALLE UNISALLE",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
10,"COL0005584","GIP",1995,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",9,"POR DEFINIR","9Z","POR DEFINIR",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
11,"COL0022164","GRUPO DE VIROLOGIA",1999,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EL BOSQUE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
14,"COL0017656","UNIDAD ACADEMICA DE PROCESOS SISTEMICOS",1999,10,1,"Manizales",17,"Caldas","UNIVERSIDAD DE MANIZALES UMANIZALES",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
17,"COL0024534","INVESTIGACION Y DESARROLLO EN OPERACION Y PLANEACION DEL TRANSITO",2003,6,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
18,"COL0024122","LOGICA; EPISTEMOLOGIA Y FILOSOFIA DE LA CIENCIA",2002,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD DEL ROSARIO",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
20,"COL0021292","GRUPO INVESTIGACION ECONOMIA SOCIAL (GRIES)",2002,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
22,"COL0021345","BIOTECNOLOGIA Y RECURSOS FITOGENETICOS",2002,7,1,"Quibd¢",27,"Choco","UNIVERSIDAD TECNOLOGICA DEL CHOCO - DIEGO LUIS CORDOBA; CENTRO INTERNACIONAL DE AGRICULTURA TROPICAL CIAT",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
24,"COL0014313","PEDAGOGIA Y LENGUAJES",2000,2,1,"Bucaramanga",68,"Santander","UNIVERSIDAD COOPERATIVA DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
25,"COL0021659","EDUCACION MATEMATICA",1981,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
28,"COL0014369","PERSEO",2000,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
29,"COL0021372","GRUBIODEQ(GRUPO DE BIOTECNOLOGIA. DEPTO DE QUIMICA Y DEPTO DE BIOLOGIA)",2003,6,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",9,"POR DEFINIR","9Z","POR DEFINIR",1,"BIOTECNOLOGIA"
30,"COL0016209","SISTEMAS COMPLEJOS",2000,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
31,"COL0023509","GESTION DE LA CONSTRUCCION",2001,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD EAFIT",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
33,"COL0020384","GEINEDUTP",2001,4,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
35,"COL0006788","GEOFISICA",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
36,"COL0022019","BIOLOGIA CELULAR Y FUNCIONAL E INGENIERIA DE BIOMOLECULAS",1984,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
37,"COL0024294","SOCIEDAD; CIENCIA Y TECNOLOGIA EN COLOMBIA",2000,7,1,"Bogot ",11,"Distrito Capital","OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGIA OCYT",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
40,"COL0001137","BIOTECNOLOGIA UNIAGRARIA",2000,12,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2D","INGENIERIA QUIMICA",1,"BIOTECNOLOGIA"
41,"COL0022511","GRUPO DE BIOFISICA",1992,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
42,"COL0015919","SIDRE SISTEMAS DE INFORMACION SISTEMAS DISTRIBUIDOS Y REDES DE COMPUTADORES",2000,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
43,"COL0020974","ASOCIACION: CENTRO DE ESTUDIOS REGIONALES; REGION",1993,7,1,"Cali",76,"Valle","UNIVERSIDAD DEL VALLE - UNIVALLE; UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",6,"HUMANIDADES","6A","HISTORIA Y ARQUEOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
44,"COL0023804","EMERGENCIAS Y DESASTRES",1998,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
45,"COL0000908","BIOFISICA Y BIOQUIMICA ESTRUCTURAL",1999,11,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
46,"COL0010833","GRUPO DE PELICULAS DELGADAS Y NANOFOTONICA.P.U.J.",1998,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
47,"COL0009135","GRUPO DE INVESTIGACION FITOQUIMICA UNIVERSIDAD JAVERIANA",1976,6,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
48,"COL0011839","CIENCIA E INGENIERIA DEL AGUA Y EL AMBIENTE",1999,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
50,"COL0022889","GRUPO DE FISICA TEORICA Y COMPUTACIONAL",2002,1,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
51,"COL0007112","GRUPO ARCO",1995,1,322,"Guasca",25,"Cundinamarca","ASOCIACION GRUPO ARCO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
53,"COL0006759","GENETICA DE POBLACIONES MOLECULAR Y BIOLOGIA EVOLUTIVA",1997,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
54,"COL0023484","GISA",1999,1,1,"Riohacha",44,"La Guajira","UNIVERSIDAD DE LA GUAJIRA",2,"INGENIERIA Y TECNOLOGIA","2G","INGENIERIA AMBIENTAL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
57,"COL0014009","TERAPIA CELULAR Y MOLECULAR",2000,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
58,"COL0004489","ESTRUCTURAS Y CONSTRUCCION",2002,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
59,"COL0000935","BIOINGENIERIA; ANALISIS DE SENALES Y PROCESAMIENTO DE IMAGENES",1998,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
60,"COL0015885","SIRP SISTEMAS INTELIGENTES ROBOTICA Y PERCEPCION",2000,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
61,"COL0001244","CECATA",2000,8,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
62,"COL0018878","GRUPO DE INVESTIGACIONES CONTABLES Y GESTION PUBLICA",2002,7,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE MEDELLIN - UDEM",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
63,"COL0014939","PROCESOS SOCIALES Y SALUD",2000,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
64,"COL0002733","CONCEPTUALIZACION Y PRACTICA DE ENFERMERIA",2000,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
68,"COL0021908","FISQUIM - FISICOQUIMICA DE GEOFLUIDOS",1996,1,1,"Cali",76,"Valle","INSTITUTO COLOMBIANO DE GEOLOGIA Y MINERIA; UNIVERSIDAD DE CALDAS UNICALDAS",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
69,"COL0005913","GRUPO DE INSTRUMENTACION CIENTIFICA DIDACTICA",1995,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",9,"POR DEFINIR","9Z","POR DEFINIR",5,"CIENCIAS BASICAS"
70,"COL0010207","GRUPO DE INVESTIGACION EN PSICOLOGIA Y SALUD",2001,7,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
71,"COL0016677","UNIDAD DE INVESTIGACIONES AGROPECUARIAS",2002,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
72,"COL0006929","CINNCO - CONOCIMIENTO; INNOVACION Y COMPETITIVIDAD",1995,7,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
73,"COL0014725","POLITICA ECONOMICA",2000,7,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
74,"COL0022001","KINEPAIDEIA",1998,1,1,"Bucaramanga",68,"Santander","UNIVERSIDAD COOPERATIVA DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
78,"COL0004774","ESTETICA; NUEVAS TECNOLOGIAS Y HABITABILIDAD",1998,7,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
80,"COL0022807","GRUPO DE INVESTIGACION EN PROTECCIONES Y TIERRAS GIPYT",1997,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
82,"COL0005708","GRUPO DE INVESTIGACIONES EN MATERIALES Y ESTRUCTURAS_ GRIME",2002,4,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6D","ARTE",5,"CIENCIAS BASICAS"
84,"COL0000612","INTEGRACION Y CONTEXTO CONTABLE",1995,5,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
86,"COL0021069","ECOLOGIA DE BOSQUES ANDINOS COLOMBIANOS - EBAC",2001,8,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
89,"COL0024463","INMUNOBIOLOGIA Y BIOLOGIA CELULAR",1996,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
90,"COL0002689","COMUNICACION; MEDIOS Y CULTURA",1997,3,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5H","PERIODISMO Y COMUNICACIONES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
91,"COL0021757","ESTUDIOS SOCIALES DE EDUCACION; CIENCIAS Y TECNOLOGIAS",2000,12,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD SIMON BOLIVAR",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
92,"COL0024552","CIENCIAS SOCIALES APLICADAS Y DERECHO",2001,2,1,"Monter¡a",23,"Cordoba","CORPORACION UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM UNISINU",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
95,"COL0023288","LACTANCIA MATERNA Y ALIMENTACION COMPLEMENTARIA",1998,1,1,"Popayan",19,"Cauca","UNIVERSIDAD DEL CAUCA UNICAUCA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
97,"COL0005092","FILOSOFIA MORAL Y POLITICA",1999,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
99,"COL0014091","NUCLEO DE INVESTIGACION EN ESTETICA",1998,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
100,"COL0004237","BIBLIOTECA VIRTUAL DEL PENSAMIENTO FILOSOFICO EN COLOMBIA; 1620-2000 (BVPFC)",1996,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
102,"COL0009939","GRUPO DE INVESTIGACION EN LAZOS SOCIALES Y CULTURAS DE PAZ",2001,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
103,"COL0018401","CREACION Y PEDAGOGÞA",2000,3,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
105,"COL0020778","INGENIERIA GEOLOGICA UPTC",2002,3,759,"Sogamoso",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
106,"COL0018232","CORPORACION SI MANANA DESPIERTO PARA LA CREACION E INVESTIGACION DE LA LITERATURA  Y LAS ARTES:  SMD",1992,8,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA; UNIVERSIDAD POPULAR DEL CESAR UPC; UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
108,"COL0015713","ESTADO; CONFLICTOS Y PAZ",2000,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
109,"COL0014761","POLITICA; GENERO Y DEMOCRACIA",1996,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
110,"COL0011438","GRUPO DE INVESTIGACION EN PARTICIPACION POLITICA Y CIUDADANA",2000,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
115,"COL0019211","IDEAS",2002,12,1,"Cali",76,"Valle","UNIVERSIDAD SANTIAGO DE CALI USC",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
119,"COL0023401","GPC - GERENCIA; PRODUCTIVIDAD Y COMPETITIVIDAD",2001,1,266,"Envigado",5,"Antioquia","ESCUELA DE INGENIERIA DE ANTIOQUIA EIA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
121,"COL0016499","TEOLOGIA Y MUNDO CONTEMPORANEO",1998,6,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA; UNIVERSIDAD DE LA SALLE UNISALLE",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
123,"COL0021532","OBSERVATORIO DE MEDIOS",1999,1,175,"Ch¡a",25,"Cundinamarca","UNIVERSIDAD DE LA SABANA UNISABANA",5,"CIENCIAS SOCIALES","5H","PERIODISMO Y COMUNICACIONES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
124,"COL0015642","PROBLEMATICAS DE HISTORIAS LITERARIAS LATINOAMERICANAS Y COLOMBIANAS: CANON Y CORPUS",1998,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
125,"COL0021784","EQUIPO INTERDISCIPLINARIO DE INVESTIGACION CUS",2003,2,1,"Monter¡a",23,"Cordoba","CORPORACION UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM UNISINU",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
126,"COL0023349","GEOPAIDEIA",1995,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN; UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
