"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
8022,"COL0001745","CULTURA DEMOCRATICA EN LA INSTITUCION ESCOLAR",1999,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8024,"COL0008147","GRUPO DE ESTILOS COGNITIVOS",1990,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8025,"COL0012785","INVESTIGACION POR LAS AULAS COLOMBIANAS (INVAUCOL)",1999,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN; UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8026,"COL0001019","BIOLOGIA; ENSENANZA Y REALIDADES",1992,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN; UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8027,"COL0002484","GRUPO INTERINSTITUCIONAL CIENCIA; ACCIONES Y CREENCIAS UPN -UV",1997,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN; UNIVERSIDAD DEL VALLE - UNIVALLE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8028,"COL0016514","TEORIA DE REPRESENTACIONES",1999,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
8031,"COL0008488","GRUPO DE FISICA TEORICA DE ALTAS ENERGIAS",1996,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
8032,"COL0010172","GRUPO DE INVESTIGACION EN PROTEINAS - GRIP",1980,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
8033,"COL0004569","ESTUDIO Y APROVECHAMIENTO DE PRODUCTOS NATURALES MARINOS Y FRUTAS DE COLOMBIA",1985,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",3,"CIENCIA TECNOLOGIA E INNOVACION DEL MAR Y DE LOS RECURSOS HIDROBIOLOGICOS"
8034,"COL0010922","GRUPO DE QUIMICA TEORICA",1986,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA; UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
8035,"COL0010019","GRUPO DE INVESTIGACION EN METEOROLOGIA",1993,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
8036,"COL0000926","BIOINFORMATICA",1998,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
8037,"COL0005557","GRUPO DE INVESTIGACION EN GEOTECNIA -  GIGUN",1996,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
8039,"COL0006089","GRUPO DE INVESTIGACION EN NUTRICION ANIMAL",1996,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
8040,"COL0006044","GRUPO DE INVESTIGACION EN PATOBIOLOGIA VETERINARIA",1990,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
8042,"COL0012569","INSTITUTO DE INVESTIGACIONES ESTETICAS",1978,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6D","ARTE",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8043,"COL0011465","GRUPO DE INVESTIGACION SOBRE CONFLICTO E INSTITUCIONES EN UNA PERSPECTIVA COMPARADA - IEPRI-UN",1986,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8044,"COL0000265","ACTORES ARMADOS; CONFLICTO Y DERECHO INTERNACIONAL HUMANITARIO - IEPRI",1986,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8045,"COL0003239","GRUPO DEMOCRACIA; NACION Y GUERRA - IEPRI",1986,11,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8046,"COL0013951","METODOS E INSTRUMENTOS PARA LA INVESTIGACION EN CIENCIAS DEL COMPORTAMIENTO.",1997,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8047,"COL0005109","FILOSOFIA Y COGNICION",1994,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
